step,phase,top1_id,top1_logit,top2_id,top2_logit,gap,entropy_topk
0,prefill,96965,13.3423,198,11.8925,1.44973,2.68817
1,decode,96965,13.3429,198,11.9056,1.43734,2.68491
2,decode,96965,13.3219,198,11.9721,1.34975,2.69234
3,decode,96965,13.2698,198,12.1221,1.14769,2.70642
4,decode,96965,13.3219,198,11.9777,1.34426,2.69143
5,decode,96965,13.3221,198,11.9773,1.34473,2.69118
6,decode,96965,13.3222,198,11.9771,1.34516,2.69118
7,decode,96965,13.2959,198,12.089,1.20698,2.69358
8,decode,96965,13.2689,198,12.1264,1.14257,2.70649
9,decode,96965,13.3027,198,12.0797,1.22305,2.69005
10,decode,96965,13.3207,198,12.0009,1.31981,2.68612
11,decode,96965,13.3236,198,11.9753,1.34839,2.68744
12,decode,96965,13.3228,198,11.9735,1.34923,2.68974
13,decode,96965,13.322,198,11.9732,1.34879,2.69159
14,decode,96965,13.3221,198,11.9713,1.35074,2.69243
15,decode,96965,13.3227,198,11.9684,1.35427,2.69263
